class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
0 -0.211210 0.907426 -0.003200 0.043012 0.008080 0.020470
0 -0.211575 0.910695 -0.009130 0.051431 0.007870 0.020295
0 -0.208335 0.890930 -0.011515 0.056137 0.006190 0.020406
0 -0.210230 0.906104 -0.012035 0.057473 0.006860 0.020354
0 -0.209805 0.902100 -0.016005 0.064889 0.006825 0.020361
0 -0.208825 0.895235 -0.016925 0.066805 0.001910 0.023775
0 -0.207235 0.881491 -0.013960 0.062253 -0.003190 0.023157
0 -0.207970 0.887108 -0.013990 0.062294 -0.003160 0.023183
0 -0.215180 0.939344 -0.014325 0.062129 -0.003160 0.023183
0 -0.221015 0.982043 -0.016005 0.059740 -0.002975 0.023100
0 -0.226790 1.023243 -0.017500 0.059071 -0.001780 0.022635
0 -0.234365 1.077093 -0.015940 0.057863 -0.002450 0.022559
0 -0.205125 0.822359 0.001465 0.023797 -0.004030 0.011278
0 -0.202195 0.797463 0.000185 0.024511 -0.003940 0.011171
0 -0.200270 0.780694 0.001315 0.022927 -0.002935 0.009588
0 -0.203785 0.814824 0.004095 0.024046 -0.001650 0.007546
0 -0.205255 0.826882 0.006175 0.022769 -0.002015 0.007770
0 -0.205925 0.831214 0.005595 0.022481 -0.002655 0.007731
0 -0.207025 0.838807 0.005015 0.022661 -0.004095 0.007889
0 -0.205775 0.828848 0.001895 0.020985 -0.005470 0.008137
0 -0.204735 0.819657 0.001685 0.020915 -0.006145 0.007968
0 -0.203940 0.811445 0.003125 0.020407 -0.006480 0.007896
0 -0.210170 0.866780 0.001510 0.019359 -0.006295 0.007992
0 -0.219760 0.973363 0.001935 0.020679 -0.006420 0.007851
0 -0.231335 1.087758 0.001080 0.021907 -0.007640 0.007185
0 -0.247005 1.290052 -0.000695 0.021117 -0.009750 0.007756
0 -0.258310 1.433905 -0.003570 0.021720 -0.010480 0.008316
0 -0.270525 1.589343 -0.002865 0.023443 -0.009775 0.007853
0 -0.283780 1.774220 0.003335 0.029466 -0.010050 0.008114
0 -0.303295 2.065519 0.001745 0.030473 -0.013625 0.014471
0 -0.318690 2.283697 0.000190 0.031816 -0.016800 0.020909
0 -0.325345 2.350872 -0.004695 0.040597 -0.020650 0.022012
0 -0.335270 2.446166 -0.001365 0.036528 -0.020160 0.021969
0 -0.344495 2.545263 -0.004330 0.043194 -0.021595 0.024392
0 -0.357110 2.705327 -0.004665 0.043554 -0.022695 0.026125
0 -0.365905 2.831227 -0.008205 0.043140 -0.022240 0.025737
0 -0.380230 3.034411 -0.006680 0.044441 -0.023460 0.027209
0 -0.399320 3.301680 -0.005980 0.044839 -0.027555 0.034527
0 -0.417065 3.550777 -0.006405 0.045132 -0.031460 0.043098
0 -0.435755 3.821842 -0.007320 0.046098 -0.035185 0.051157
0 -0.447300 3.966927 -0.009735 0.047781 -0.036985 0.052380
0 -0.452280 4.024259 -0.012240 0.049665 -0.038025 0.052664
0 -0.454815 4.054413 -0.014165 0.051081 -0.039185 0.052440
0 -0.103300 0.216587 -0.008610 0.017336 -0.013540 0.008772
0 -0.105285 0.227611 -0.006170 0.016708 -0.012900 0.008699
0 -0.107545 0.240617 -0.001650 0.022366 -0.012195 0.008033
0 -0.107240 0.239257 -0.002990 0.024525 -0.010915 0.007556
0 -0.109290 0.247620 -0.005065 0.024920 -0.011345 0.007422
0 -0.109350 0.247797 -0.006225 0.024855 -0.011410 0.007394
0 -0.110755 0.253335 -0.008210 0.024370 -0.010375 0.007410
0 -0.113840 0.264458 -0.008975 0.024089 -0.009065 0.007221
0 -0.115855 0.273018 -0.009615 0.024635 -0.005370 0.006306
0 -0.116370 0.275300 -0.008240 0.021748 -0.004700 0.006243
0 -0.116555 0.276149 -0.006410 0.017653 -0.002100 0.006407
0 -0.117655 0.282108 -0.008705 0.020010 0.001385 0.005622
0 -0.116370 0.274737 -0.008670 0.020038 0.003495 0.005679
0 -0.118505 0.287084 -0.011235 0.023695 0.005295 0.006246
0 -0.125375 0.322974 -0.014110 0.027285 0.005295 0.006246
0 -0.128095 0.338093 -0.012705 0.025775 0.008070 0.006093
0 -0.132860 0.361332 -0.014755 0.025800 0.010420 0.005720
