class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 -0.027035 0.309635 0.004910 0.315812 -0.033995 0.440281
1 -0.034640 0.336073 0.017155 0.309199 -0.040195 0.411276
1 -0.034150 0.335887 0.034995 0.297065 -0.028100 0.417110
1 -0.030575 0.335439 0.052440 0.321882 -0.015455 0.393863
1 -0.032710 0.333182 0.074155 0.294074 -0.005500 0.369244
1 -0.028400 0.320618 0.089610 0.294664 0.008425 0.343999
1 -0.024520 0.314305 0.100820 0.311632 0.018410 0.334325
1 -0.008120 0.233562 0.110595 0.337111 0.024610 0.304124
1 0.010450 0.123139 0.111235 0.338561 0.025405 0.300703
1 0.012835 0.122191 0.105280 0.327953 0.005610 0.271822
1 0.004375 0.153504 0.104395 0.326565 -0.009540 0.239948
1 -0.000665 0.165437 0.103510 0.327465 -0.015530 0.228680
1 -0.001825 0.168418 0.101435 0.330966 -0.025245 0.221891
1 -0.011475 0.197587 0.102260 0.330007 -0.035630 0.225600
1 -0.020575 0.197805 0.103390 0.332419 -0.036390 0.225667
1 -0.030350 0.183759 0.104275 0.334719 -0.030035 0.229661
1 -0.041160 0.168803 0.101310 0.321577 -0.014855 0.186745
1 -0.058690 0.175747 0.092515 0.283897 0.004205 0.158968
1 -0.063670 0.208942 0.085370 0.259804 0.018255 0.182650
1 -0.064765 0.210201 0.075995 0.247385 0.028240 0.217912
1 -0.064675 0.210213 0.063745 0.234201 0.031720 0.229006
1 -0.056185 0.184207 0.053455 0.232690 0.025645 0.231214
1 -0.057255 0.184813 0.040840 0.215437 0.012910 0.229693
1 -0.059580 0.183821 0.031370 0.171612 0.004725 0.230639
1 -0.068135 0.210806 0.021445 0.136783 -0.001140 0.235692
1 -0.068135 0.210806 0.022945 0.147192 -0.011890 0.241357
1 -0.070000 0.212178 0.025510 0.165572 -0.020595 0.244818
1 -0.080230 0.236094 0.028225 0.186641 -0.021205 0.246373
1 -0.089760 0.256659 0.036015 0.231790 -0.011585 0.245842
1 -0.090035 0.256481 0.048660 0.289822 0.005335 0.251701
1 -0.075770 0.239417 0.054740 0.312638 0.016425 0.256738
1 -0.065660 0.237450 0.061335 0.321593 0.021865 0.265430
1 -0.058025 0.238532 0.069825 0.329683 0.028955 0.262290
1 -0.041475 0.235611 0.076485 0.342268 0.035125 0.248913
1 -0.026600 0.270151 0.076335 0.341881 0.035705 0.248737
1 -0.012400 0.315520 0.073740 0.336764 0.028095 0.248766
1 0.001590 0.351822 0.068210 0.330692 0.018350 0.256021
1 0.010355 0.316640 0.065860 0.330960 0.003475 0.253281
1 0.019365 0.269736 0.062285 0.334057 -0.012895 0.240358
1 0.028435 0.286644 0.063630 0.331566 -0.032045 0.241183
1 0.023765 0.295425 0.072885 0.330469 -0.044475 0.244359
1 0.020925 0.298176 0.084125 0.335943 -0.039500 0.241065
1 0.026605 0.304517 0.090355 0.328053 -0.020715 0.290624
1 0.030885 0.308945 0.087270 0.329594 -0.007095 0.319278
1 0.037270 0.282012 0.091730 0.334933 -0.001655 0.313733
1 0.040660 0.282101 0.085345 0.303947 0.005615 0.299659
1 0.049395 0.297683 0.077285 0.264828 0.013345 0.293174
1 0.065310 0.292452 0.066810 0.217001 0.017835 0.288364
1 0.073555 0.267875 0.057890 0.169874 0.007515 0.292423
1 0.075690 0.270148 0.049980 0.118774 -0.003355 0.262467
1 0.068570 0.260524 0.045305 0.098565 -0.010690 0.247856
1 0.055740 0.280388 0.043840 0.093530 -0.022725 0.259513
1 0.055495 0.279687 0.040110 0.082698 -0.032990 0.276001
1 0.037540 0.296404 0.031465 0.072580 -0.038365 0.285217
1 0.017870 0.290885 0.031190 0.071892 -0.037605 0.285506
1 0.007490 0.242528 0.027615 0.073340 -0.025415 0.309338
1 -0.004120 0.201514 0.022120 0.091032 -0.008460 0.346976
1 -0.009005 0.213418 0.013935 0.125655 0.009165 0.369982
1 -0.011050 0.218265 0.006665 0.162707 0.023950 0.371651
1 -0.024610 0.216208 -0.005435 0.235661 0.033145 0.333702
1 -0.024795 0.216897 -0.024525 0.309846 0.035405 0.323603
1 -0.027545 0.225443 -0.046825 0.392548 0.029390 0.330982
1 -0.034325 0.220114 -0.068725 0.551202 0.009320 0.290335
1 -0.047370 0.250539 -0.083755 0.662657 -0.004635 0.263299
1 -0.047065 0.250119 -0.107795 0.813255 -0.010685 0.270902
1 -0.049725 0.248808 -0.132690 0.993532 -0.026690 0.357147
1 -0.063255 0.247874 -0.149400 1.070564 -0.043030 0.425682
1 -0.072480 0.223910 -0.163815 1.141670 -0.043060 0.425657
1 -0.073730 0.223783 -0.181590 1.229204 -0.031335 0.428804
1 -0.079255 0.223722 -0.199885 1.293832 -0.024405 0.437395
1 -0.085425 0.246275 -0.215980 1.349748 -0.019730 0.441875
1 -0.087745 0.263236 -0.230765 1.387114 -0.009070 0.425637
1 -0.096295 0.266314 -0.240750 1.407348 0.003360 0.415814
1 -0.087595 0.228416 -0.247225 1.435307 0.005225 0.409849
1 -0.077700 0.194687 -0.258955 1.455645 -0.004025 0.438461
1 -0.075960 0.197091 -0.262040 1.463324 -0.023205 0.455277
1 -0.079500 0.205475 -0.257795 1.449951 -0.044465 0.443974
1 -0.087655 0.266629 -0.246985 1.421421 -0.069450 0.482053
1 -0.083960 0.260870 -0.226460 1.435777 -0.088725 0.510808
1 -0.086710 0.278023 -0.201930 1.420382 -0.090560 0.512545
1 -0.084695 0.272247 -0.173215 1.429259 -0.078250 0.532202
1 -0.074615 0.271554 -0.143955 1.409397 -0.057330 0.635454
1 -0.065450 0.288217 -0.113685 1.295752 -0.033415 0.723766
1 -0.057140 0.253436 -0.091660 1.195216 -0.020435 0.744610
1 -0.061325 0.265604 -0.065940 1.050505 -0.011605 0.743480
1 -0.060010 0.265577 -0.039975 0.870098 0.008525 0.667531
1 -0.053995 0.247917 -0.023910 0.788389 0.020740 0.594934
1 -0.049080 0.252051 -0.011050 0.713376 0.017380 0.597119
1 -0.048865 0.251974 0.004345 0.617692 0.003330 0.607751
1 -0.055220 0.282413 0.019890 0.539372 -0.006165 0.606224
1 -0.043520 0.264755 0.035345 0.474442 -0.011600 0.602812
1 -0.034450 0.222071 0.051685 0.434589 -0.017555 0.600673
1 -0.033690 0.219342 0.069860 0.446520 -0.015570 0.610604
1 -0.035365 0.222124 0.091485 0.470148 -0.001275 0.657647
1 -0.042665 0.240067 0.108805 0.466610 0.019125 0.685190
1 -0.049630 0.245428 0.123860 0.489875 0.039435 0.674820
1 -0.048715 0.242248 0.133235 0.504133 0.056845 0.654411
1 -0.029415 0.181841 0.138855 0.521870 0.077280 0.581006
1 -0.021720 0.203981 0.134155 0.492340 0.090965 0.525523
1 -0.005045 0.190453 0.124045 0.447312 0.091855 0.524022
1 0.001830 0.194037 0.110055 0.369109 0.079210 0.509823
1 0.004670 0.208048 0.095030 0.301603 0.056730 0.419002
1 -0.004920 0.193584 0.076550 0.291764 0.038465 0.313671
1 -0.001380 0.195135 0.064635 0.302096 0.024780 0.297157
1 0.014380 0.220209 0.057150 0.291706 0.013935 0.308053
1 0.017585 0.225447 0.049390 0.290763 0.001165 0.318871
1 0.022320 0.231176 0.049425 0.290805 0.002265 0.318220
1 0.022075 0.230549 0.054005 0.295406 0.006970 0.317828
1 0.027600 0.240429 0.061090 0.314216 0.021295 0.308456
1 0.044675 0.228848 0.067475 0.337390 0.034120 0.326855
1 0.047820 0.242175 0.071475 0.351378 0.039465 0.329529
1 0.056100 0.259166 0.071110 0.349956 0.041695 0.326762
1 0.064625 0.258597 0.067410 0.326167 0.032685 0.307970
1 0.070855 0.258326 0.056015 0.266656 0.016830 0.266739
1 0.077175 0.238886 0.048745 0.238221 0.001435 0.215139
