class acce0mean acce0var acce1mean acce1var acce2mean acce2var gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 0.073745 3.893318 9.865370 1851.384193 0.376845 9.034124 0.039465 0.198040 0.062585 0.329803 -0.008215 0.349555
1 0.070150 3.891426 9.835920 1840.569720 0.367870 8.822912 0.027280 0.226172 0.076270 0.353768 -0.010015 0.357421
1 0.095290 3.858406 9.795095 1825.757145 0.354105 8.596230 0.022025 0.225959 0.089525 0.380175 0.002810 0.356564
1 0.161250 4.823761 9.770310 1816.480303 0.374575 8.711667 0.014415 0.216343 0.099790 0.377307 0.019915 0.360725
1 0.197645 4.793303 9.733435 1802.250453 0.365235 8.452013 0.004425 0.228439 0.103090 0.368599 0.032770 0.327525
1 0.232125 5.462016 9.752590 1809.389444 0.340935 7.709361 -0.003700 0.242794 0.107945 0.355097 0.037260 0.320350
1 0.224465 5.502189 9.772465 1816.704655 0.358170 7.941600 -0.010575 0.236109 0.096400 0.402505 0.034390 0.328901
1 0.261335 5.113513 9.799520 1826.692334 0.393365 8.700491 -0.012955 0.244736 0.086350 0.441969 0.027150 0.370673
1 0.263010 5.074937 9.821430 1834.799539 0.451190 10.620365 -0.014755 0.249647 0.067020 0.479032 0.006500 0.406721
1 0.253555 5.005108 9.848605 1844.931682 0.459450 10.690751 -0.009625 0.244724 0.041090 0.557965 -0.009355 0.347219
1 0.239545 5.009999 9.896250 1863.150994 0.474650 11.132918 -0.008035 0.239301 0.019585 0.584861 -0.025970 0.323936
1 0.232725 4.923414 9.895175 1862.747226 0.451665 11.037583 -0.002320 0.233383 -0.007995 0.633832 -0.033575 0.291436
1 0.201600 4.382472 9.884880 1858.889669 0.474410 11.643872 0.001620 0.235040 -0.030020 0.640087 -0.046925 0.286623
1 0.166765 3.963280 9.868720 1852.901381 0.474530 11.644706 -0.003050 0.234099 -0.051950 0.672412 -0.056145 0.266311
1 0.173350 4.028826 9.853880 1847.483513 0.480640 11.659058 -0.004545 0.230282 -0.067435 0.685398 -0.050405 0.273925
1 0.191545 4.382921 9.828500 1838.133988 0.458615 11.399190 -0.007020 0.228852 -0.086460 0.739735 -0.038585 0.281171
1 0.192385 4.383684 9.825150 1836.882165 0.473340 11.662562 -0.012885 0.224759 -0.104235 0.784018 -0.031320 0.276520
1 0.164255 3.961302 9.783490 1820.770270 0.528405 12.757048 -0.030020 0.223921 -0.116330 0.814080 -0.033275 0.280363
1 0.131570 3.625098 9.756075 1810.201173 0.484950 10.372731 -0.027025 0.221438 -0.128425 0.885794 -0.032420 0.279436
1 0.120435 3.586861 9.762780 1812.723642 0.571145 8.894824 -0.035060 0.166125 -0.146050 0.949941 -0.028540 0.278477
1 0.158620 2.967307 9.800970 1826.930179 0.559770 8.669655 -0.033470 0.176982 -0.167735 1.038333 -0.020540 0.261462
1 0.153835 2.981635 9.821320 1834.330532 0.601670 10.190062 -0.017500 0.166170 -0.190860 1.073655 -0.015135 0.245731
1 0.128815 3.016229 9.882015 1856.830573 0.571145 10.241918 -0.005310 0.201360 -0.208455 1.059203 -0.032450 0.277287
1 0.054355 2.174174 9.930740 1875.522518 0.639265 13.007153 0.002635 0.212775 -0.216885 1.050189 -0.054835 0.316655
1 -0.003590 2.704299 9.934695 1876.995220 0.599040 12.706443 0.002850 0.211677 -0.219880 1.055811 -0.071785 0.385157
1 -0.084280 2.589084 9.922485 1872.415214 0.622985 13.422494 0.010240 0.196356 -0.226080 1.072316 -0.075300 0.388640
1 -0.084880 2.593838 9.897105 1863.137189 0.651000 14.290960 0.009540 0.197821 -0.220310 1.039048 -0.068370 0.380737
1 -0.076380 2.663990 9.872205 1853.928505 0.658785 14.588317 0.019435 0.191181 -0.210625 1.005547 -0.044210 0.409067
1 -0.042980 2.384879 9.851015 1846.083781 0.607305 12.770151 0.032565 0.213817 -0.195660 0.959100 -0.016385 0.442974
1 -0.022150 2.645610 9.835330 1840.163828 0.608745 12.787569 0.038490 0.233767 -0.180055 0.854698 -0.000595 0.502044
1 -0.013050 2.629369 9.812465 1831.191460 0.579415 12.107587 0.050890 0.259542 -0.167105 0.799469 0.016665 0.529797
1 -0.016165 2.600639 9.810670 1830.519019 0.614375 12.410698 0.053880 0.266512 -0.156415 0.711848 0.016205 0.529358
1 -0.028255 2.593718 9.815215 1832.212287 0.568885 11.623687 0.058800 0.285460 -0.153055 0.686720 0.019170 0.517767
1 -0.053155 2.877842 9.820360 1834.096769 0.584330 11.824052 0.062250 0.284049 -0.142610 0.625572 0.012725 0.544822
1 -0.086555 2.887604 9.844420 1842.970848 0.570320 11.838211 0.062770 0.285105 -0.134885 0.596337 0.005885 0.539614
1 -0.119715 2.421830 9.892785 1861.229641 0.599530 12.260066 0.066160 0.287828 -0.123340 0.530025 -0.001780 0.522890
1 -0.072070 3.416552 9.914570 1869.527518 0.614135 12.688523 0.063165 0.296799 -0.106845 0.481137 -0.004465 0.519861
1 -0.075905 3.406067 9.921395 1872.070418 0.550810 11.649420 0.076145 0.273496 -0.101775 0.454228 -0.005135 0.521918
1 -0.077220 3.409834 9.914815 1869.625107 0.490115 10.849395 0.073090 0.276732 -0.078260 0.420697 -0.006175 0.523179
1 -0.076980 3.409710 9.888355 1859.887276 0.446660 10.846386 0.070035 0.269880 -0.054895 0.386003 -0.008005 0.522216
1 -0.072910 3.414211 9.849805 1845.559095 0.400930 10.972765 0.061820 0.237199 -0.023865 0.368216 -0.004645 0.530215
1 -0.072075 3.410773 9.835800 1840.431467 0.327905 9.200510 0.048110 0.236293 0.012970 0.501149 0.001160 0.539163
1 -0.045620 3.399972 9.798690 1826.321892 0.341670 9.091772 0.028375 0.240842 0.045105 0.699741 0.015725 0.495659
1 -0.018565 3.199607 9.764335 1812.936532 0.275225 6.310577 0.019975 0.230731 0.060650 0.752349 0.033225 0.428303
1 0.036985 2.639973 9.781810 1819.598978 0.280495 6.279886 0.024100 0.216665 0.080810 0.841266 0.052070 0.362434
1 0.090980 2.128859 9.800605 1826.703706 0.228060 5.272009 0.028315 0.227327 0.101825 0.896648 0.056930 0.358988
1 0.101035 2.083591 9.830290 1837.612204 0.153955 4.274853 0.037720 0.239967 0.120825 0.962641 0.052290 0.361202
1 0.071825 2.094248 9.844295 1842.731920 0.097565 3.157628 0.040620 0.252720 0.138995 1.089689 0.031585 0.312377
1 0.064760 2.080674 9.888110 1859.348741 0.055070 3.206864 0.035585 0.227858 0.157780 1.271777 0.010605 0.231525
1 0.024655 1.894082 9.904275 1865.451249 0.065485 3.393641 0.022240 0.222358 0.179435 1.434206 -0.008360 0.185027
1 0.034230 1.947617 9.912055 1868.455913 0.030650 3.442066 0.010695 0.193760 0.200115 1.609168 -0.022565 0.144160
1 0.034110 1.946677 9.902955 1865.088285 0.044175 3.836768 0.007490 0.186287 0.225160 1.743127 -0.024975 0.144431
1 0.051825 1.994367 9.880330 1856.826388 0.076255 4.253795 -0.001555 0.165410 0.251945 1.844720 -0.022655 0.140459
1 0.091570 1.767924 9.862970 1850.554555 0.078170 4.293848 -0.005340 0.166981 0.270915 1.941337 -0.013065 0.112913
1 0.118265 1.679194 9.830290 1838.614763 0.093375 4.300697 -0.008305 0.163448 0.284295 1.992512 -0.004300 0.126651
1 0.126285 1.707580 9.786355 1821.945237 0.064760 3.851674 -0.010685 0.160223 0.294370 2.013341 0.003855 0.146080
1 0.084025 0.751250 9.761695 1812.574241 0.029085 3.065820 -0.006345 0.150194 0.293330 2.010844 0.011520 0.169831
1 0.099230 0.856936 9.755590 1810.295899 0.066795 3.338543 -0.011355 0.142430 0.293025 2.012124 0.021905 0.177854
1 0.123415 0.999805 9.769595 1815.546497 0.108575 3.609304 -0.009585 0.139946 0.277910 1.994242 0.027130 0.179949
1 0.144845 1.165411 9.800005 1826.793161 0.175495 4.285727 -0.013645 0.141719 0.257415 2.014846 0.023340 0.186720
1 0.136585 1.173682 9.860460 1849.797349 0.204705 4.025635 -0.015110 0.141329 0.232065 1.986188 0.011430 0.199664
1 0.152870 1.211082 9.912175 1869.507247 0.244565 4.475365 -0.011600 0.127719 0.196180 1.858805 0.001075 0.202713
1 0.158975 1.285478 9.919715 1872.283355 0.207815 5.095571 0.003000 0.095608 0.159620 1.708463 -0.006985 0.205632
1 0.130960 1.513630 9.911810 1869.339166 0.211890 5.165280 0.004770 0.093116 0.134605 1.723277 -0.021035 0.239239
1 0.090375 1.687794 9.874220 1855.319225 0.226135 5.195194 0.000830 0.106109 0.112275 1.646526 -0.029280 0.231981
1 0.077565 1.598533 9.842135 1843.365584 0.238825 5.237922 -0.006865 0.096905 0.096055 1.573088 -0.025585 0.242611
1 0.080200 1.600136 9.811730 1832.201959 0.266360 5.092119 -0.012700 0.080232 0.077120 1.505891 -0.013520 0.274476
1 0.097800 1.511890 9.803110 1829.031720 0.274740 5.094791 -0.024150 0.067718 0.056080 1.380265 -0.001120 0.263745
1 0.117195 1.643291 9.771865 1817.020047 0.308500 4.923181 -0.028365 0.061959 0.023795 1.234656 0.011220 0.269050
1 0.157300 1.822460 9.757260 1811.493503 0.280605 4.631039 -0.017585 0.056460 -0.012365 1.161447 0.024230 0.269526
1 0.166520 1.940884 9.746725 1807.433166 0.292935 4.497018 -0.009645 0.065156 -0.048710 1.065675 0.025880 0.265853
1 0.152515 1.913840 9.760015 1812.377754 0.274380 4.001995 -0.010530 0.064507 -0.080170 0.960697 0.019770 0.287932
1 0.142340 1.857887 9.802275 1828.150948 0.233200 3.632511 -0.006280 0.066261 -0.108085 0.848862 0.013235 0.310667
1 0.147245 1.916827 9.884880 1860.155004 0.210215 3.352126 0.000530 0.071666 -0.133225 0.763655 0.008590 0.315089
1 0.167600 2.230114 9.930250 1876.955917 0.235235 3.759115 -0.003255 0.077417 -0.157780 0.758719 0.001595 0.299365
1 0.131685 2.505700 9.950240 1884.343652 0.187350 4.485655 0.004045 0.101530 -0.174880 0.755835 -0.015755 0.321605
1 0.079850 3.283719 9.939465 1880.405472 0.224580 5.317078 0.000500 0.108672 -0.186485 0.775664 -0.035055 0.350346
1 0.053035 3.220513 9.911570 1870.383943 0.186990 5.055285 0.002640 0.109487 -0.187400 0.779072 -0.040155 0.335071
1 0.018195 3.157914 9.872780 1856.235848 0.156105 4.725714 0.007560 0.115597 -0.186090 0.774625 -0.035300 0.357197
1 0.001555 2.993307 9.842970 1845.208286 0.117915 3.900429 0.010585 0.112898 -0.177660 0.733046 -0.020915 0.393997
1 0.024780 3.114998 9.800595 1828.776684 0.125935 3.949544 0.009115 0.114303 -0.174575 0.711655 0.000190 0.449856
1 0.044170 3.440499 9.762645 1814.096077 0.093615 3.479985 0.011620 0.110498 -0.168375 0.664826 0.014575 0.468776
1 0.009455 3.405771 9.752350 1810.313704 0.162570 3.218081 0.006275 0.102609 -0.165385 0.639034 0.013535 0.472974
1 0.052435 3.322824 9.761330 1813.664989 0.154425 3.091174 0.005115 0.103963 -0.159340 0.593326 0.014910 0.462636
1 0.042140 3.575222 9.798205 1827.416063 0.118150 3.328651 0.013510 0.091130 -0.165080 0.634766 0.009900 0.485165
1 0.017955 3.761981 9.859380 1850.922949 0.105700 3.282534 0.009995 0.102791 -0.170365 0.653425 -0.004700 0.507725
1 0.013045 3.762840 9.866085 1853.320741 0.059610 3.853004 0.005325 0.109232 -0.169025 0.649437 -0.020155 0.488084
1 -0.010900 3.939462 9.881410 1858.995994 0.088825 4.313128 -0.004665 0.184364 -0.167500 0.647354 -0.034390 0.510282
1 -0.048130 3.942626 9.887875 1861.416030 0.112050 4.733341 -0.020915 0.295618 -0.154305 0.611409 -0.046825 0.504274
1 -0.042745 4.066636 9.890505 1862.397971 0.125700 4.803314 -0.027270 0.287597 -0.133295 0.532907 -0.041660 0.542652
1 -0.044420 4.039379 9.868360 1854.158101 0.128935 4.789324 -0.032950 0.276054 -0.115675 0.450674 -0.029565 0.583693
1 -0.044420 4.039379 9.859380 1850.803566 0.112175 4.573473 -0.033835 0.275990 -0.104525 0.398316 -0.016735 0.572997
1 -0.043105 4.042452 9.831250 1840.148896 0.146655 4.799013 -0.039090 0.275638 -0.096155 0.366515 -0.003480 0.563217
1 -0.044180 4.027483 9.773070 1817.034699 0.159825 4.909766 -0.042450 0.268079 -0.089130 0.339029 0.004675 0.567073
1 -0.075425 3.669115 9.769000 1815.459194 0.143185 4.580944 -0.034175 0.270981 -0.074380 0.282263 0.005530 0.566895
1 -0.050645 3.379141 9.786720 1822.281044 0.180300 3.861600 -0.035335 0.264219 -0.062560 0.256980 0.013350 0.526803
1 -0.021195 2.681760 9.800490 1827.334535 0.155640 3.185026 -0.024005 0.277399 -0.046890 0.251737 0.013745 0.523197
1 -0.039510 2.965667 9.856395 1848.056121 0.137320 3.464974 -0.017410 0.303248 -0.031315 0.280461 0.001280 0.574566
1 -0.005510 3.019285 9.905480 1866.162406 0.213815 5.676204 -0.027430 0.310694 -0.019250 0.300158 -0.011640 0.558204
1 0.001915 3.065540 9.927865 1874.374134 0.151205 6.853336 -0.028900 0.310982 -0.010300 0.315243 -0.022480 0.515341
1 -0.025855 2.969124 9.929780 1875.085304 0.191550 7.876939 -0.027035 0.309635 0.004910 0.315812 -0.033995 0.440281
1 -0.023460 3.030483 9.925350 1873.447990 0.239795 8.874967 -0.034640 0.336073 0.017155 0.309199 -0.040195 0.411276
1 0.013530 3.103498 9.923795 1872.884575 0.233450 8.741539 -0.034150 0.335887 0.034995 0.297065 -0.028100 0.417110
